title,source_type,source,google_books_return,unique_id,auth1_first,auth1_last,field,first_pub_date,born_digital
"In Theory: Classes, Nations, Literatures",Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,287,Aijaz,Ahmad,Postcolonial,1992,Born Digital
Imperial Eyes: Travel Writing and Transculturation,Ebook,EBOOK_PURCHASED,FALSE,288,Mary Louis,Pratt,Postcolonial,1992,Born Digital
The Repeating Island: The Caribbean and the Postmodern Perspective,Ebook,DUKE_UP,FALSE,289,Antonio,Benitez-Rojo,Postcolonial,1992,Born Digital
Writing Diaspora: Tactics of Intervention in Contemporary Cultural Studies,Ebook,EBOOK_PURCHASED,FALSE,290,Rey,Chow,Postcolonial,1993,Born Digital
Culture and Imperialism,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,292,Edward,Said,Postcolonial,1993,Born Digital
Allegories of Empire: The Figure of Woman in the Colonial Text,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,293,Jenny,Sharpe,Postcolonial,1993,Born Digital
The Location of Culture,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,294,Homi,Bhabha,Postcolonial,1994,Born Digital
"Imperial Leather: Race, Gender and Sexuality in the Colonial Context",Ebook,EBOOK_PURCHASED,FALSE,295,Anne,McClintock,Postcolonial,1995,Born Digital
"Colonial Desire: Hybridity in Theory, Culture, and Race",Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,296,Robert,Young,Postcolonial,1995,Born Digital
Citizen and Subject: Contemporary Africa and the Legacy of Late Colonialism,Ebook,EBOOK_PURCHASED,FALSE,297,Mahmood,Mamdani,Postcolonial,1996,Born Digital
Modernity At Large: Cultural Dimensions of Globalization,Ebook,EBOOK_PURCHASED,FALSE,298,Arjun,Appadurai,Postcolonial,1996,Born Digital
At Home in the World: Cosmopolitanism Now,Print,LIBRARY_SCAN,FALSE,299,Timothy,Brennan,Postcolonial,1997,Digitized
The Postcolonial Aura: Third World Criticism in the Age of Global Capitalism,Ebook,EBOOK_PURCHASED,FALSE,300,Arif,Dirlik,Postcolonial,1998,Born Digital
Beyond Postcolonial Theory,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,301,Epifanio,San Juan,Postcolonial,1998,Born Digital
A Critique of Postcolonial Reason,Print,LIBRARY_SCAN,FALSE,302,Gayatri,Spivak,Postcolonial,1999,Digitized
Subalternity and Representation: Arguments in Cultural Theory,Ebook,DUKE_UP,FALSE,303,John,Beverley,Postcolonial,1999,Born Digital
Provincializing Europe,Ebook,EBOOK_PURCHASED,FALSE,304,Dipesh,Chakrabarty,Postcolonial,2000,Born Digital
Coloniality of Power and Eurocentrism in Latin America,Article,ARTICLE,FALSE,305,Anibal,Quijano,Postcolonial,2000,Born Digital
On the Postcolony,Ebook,EBOOK_PURCHASED,FALSE,306,Achille,Mbembe,Postcolonial,2000,Born Digital
Empire,Ebook,EBOOK_PURCHASED,FALSE,307,Michael,Hardt,Postcolonial,2000,Born Digital
Strange Encounters: Embodied Others in Post-coloniality,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,308,Sara,Ahmed,Postcolonial,2000,Born Digital
The Postcolonial Exotic,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,309,Graham,Huggan,Postcolonial,2001,Born Digital
Post-Colonial Transformation,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,310,Bill,Ashcroft,Postcolonial,2001,Born Digital
Ornamentalism: How the British Saw Their Empire,Print,LIBRARY_SCAN,FALSE,311,David,Cannadine,Postcolonial,2001,Digitized
The Geopolitics of Knowledge and the Colonial Difference,Article,ARTICLE,FALSE,312,Walter,Mignolo,Postcolonial,2002,Born Digital
Death of a Discipline,Ebook,EBOOK_PURCHASED,FALSE,313,Gayatri,Spivak,Postcolonial,2003,Born Digital
"Native Intelligence: Aesthetics, Politics and Postcolonial Literature",Print,LIBRARY_SCAN,FALSE,314,Deepika,Bahri,Postcolonial,2003,Digitized
"Postcolonial Contraventions: Cultural Readings of Race, Imperialism, and Transnationalism",Ebook,EBOOK_PURCHASED,FALSE,315,Laura,Chrisman,Postcolonial,2003,Born Digital
Postcolonial Studies: A Materialist Critique,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,316,Benita,Parry,Postcolonial,2004,Born Digital
"Colonialism in Question: Theory, Knowledge, History",Ebook,EBOOK_PURCHASED,FALSE,317,Frederick,Cooper,Postcolonial,2005,Born Digital
"Hegel, Haiti and Universal History",Ebook,EBOOK_PURCHASED,FALSE,318,Susan,Buck-Morss,Postcolonial,2005,Born Digital
"Affective Communities: Anticolonial Thought, Fin-de-Siècle Radicalism, and the Politics of Friendship",Ebook,DUKE_UP,FALSE,319,Leela,Gandhi,Postcolonial,2006,Born Digital
Postcolonial Authors in the Global Literary Marketplace,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,320,Sarah,Brouilette,Postcolonial,2007,Born Digital
Interdisciplinary Measures: Literature and the Future of Postcolonial Studies,Ebook,EBOOK_PURCHASED,FALSE,321,Graham,Huggan,Postcolonial,2008,Born Digital
Slow Violence and the Environmentalism of the Poor,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,322,Rob,Nixon,Postcolonial,2011,Born Digital
The Postcolonial Unconscious,Ebook,EBOOK_PURCHASED,FALSE,323,Neil,Lazarus,Postcolonial,2011,Born Digital
A Critical Psychology of the Postcolonial: The Mind of Apartheid,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,324,Derek,Hook,Postcolonial,2012,Born Digital
Postcolonial Theory and the Spectre of Capital,Ebook,EBOOK_PURCHASED,FALSE,325,Vivek,Chibber,Postcolonial,2013,Born Digital
The Postcolonial Orient: The Politics of Difference and the Project of Provincialising Europe,Ebook,EBOOK_PURCHASED,FALSE,326,Vasant,Kaiwar,Postcolonial,2014,Born Digital
The Intimacies of Four Continents,Ebook,DUKE_UP,FALSE,327,Lisa,Lowe,Postcolonial,2015,Born Digital
The End of the Cognitive Empire: The Coming of Age of Epistemologies of the South,Ebook,DUKE_UP,FALSE,328,Boaventura,de Sousa Santos,Postcolonial,2018,Born Digital
The Theory of the Novel,Print,DESTRUCTIVE_SCAN,FALSE,329,Georg,Lukács,Narratology | Marxism,1916,Digitized
Aspects of the Novel,Google Books,GOOGLE_BOOKS,DIGI-SCAN,330,Edward Morgan,Forster,Narratology,1927,Digitized
Problems of Dostoevsky's Poetics,Ebook,EBOOK_PURCHASED,FALSE,331,Mikhail,Bakhtin,Narratology,1929,Born Digital
Mimesis: The Representation of Reality in Western Literature,Ebook,EBOOK_PURCHASED,FALSE,332,Erich,Auerbach,Narratology,1946,Born Digital
A Theory of Narrative,Print,LIBRARY_SCAN,FALSE,333,Franz,Stanzel,Narratology,1955,Digitized
The Logic of Literature,Print,LIBRARY_SCAN,FALSE,334,Käte,Hamburger,Narratology,1957,Digitized
Anatomy of Criticism,Ebook,EBOOK_PURCHASED,FALSE,335,Northrop,Frye,Narratology,1957,Born Digital
The Rhetoric of Fiction,Ebook,INDIVIDUAL_EBOOK_PURCHASE,DIGI-SENT,336,Wayne,Booth,Narratology,1961,Born Digital
The Poetics of Prose,Print,LIBRARY_SCAN,FALSE,337,Tzvetan,Todorov,Narratology,1971,Digitized
The Typology of Detective Fiction,Article,CHAPTER,FALSE,338,Tzvetan,Todorov,Narratology,1966,Born Digital
Structural Semantics: An Attempt at a Method,Print,LIBRARY_SCAN,FALSE,339,Algirdas,Greimas,Narratology,1966,Digitized
The Conflict of Interpretations: Essays in Hermeneutics,Google Books,GOOGLE_BOOKS,DIGI-SCAN,340,Paul,Ricoeur,Narratology,1969,Digitized
Narrative Discourse: An Essay in Method,Print,LIBRARY_SCAN,FALSE,341,Gérard,Genette,Narratology,1970,Digitized
The Act of Reading: A Theory of Aesthetic Response,Print,LIBRARY_SCAN,FALSE,342,Wolfgang,Iser,Narratology,1976,Digitized
Story and Discourse: Narrative Structure in Fiction and Film,Print,LIBRARY_SCAN,FALSE,343,Seymour,Chatman,Narratology,1978,Digitized
Transparent Minds: Narrative Modes for Presenting Consciousness in Fiction,Ebook,INDIVIDUAL_EBOOK_PURCHASE,DIGI-SENT,344,Dorrit,Cohn,Narratology,1978,Born Digital
Expositional Modes and Temporal Ordering in Fiction,Print,LIBRARY_SCAN,FALSE,345,Meir,Sternberg,Narratology,1978,Digitized
The Narrative Act. Point of View in Prose Fiction,Print,LIBRARY_SCAN,FALSE,346,Susan,Lanser,Narratology,1981,Digitized
Unspeakable Sentences: Narration and Representation in the Language of Fiction,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,347,Ann,Banfield,Narratology,1982,Born Digital
Narratology: The Form and Functioning of Narrative,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,348,Gerald,Prince,Narratology,1982,Born Digital
Narrative Discourse Revisited,Print,LIBRARY_SCAN,FALSE,349,Gerard,Genette,Narratology,1983,Digitized
Time and Narrative,Ebook,EBOOK_PURCHASED,FALSE,350,Paul,Ricoeur,Narratology,1983,Born Digital
Reading for the Plot: Design and Intention in Narrative,Ebook,INDIVIDUAL_EBOOK_PURCHASE,FALSE,351,Peter,Brooks,Narratology,1984,Born Digital
Narratology: Introduction to the Theory of Narrative,Google Books,GOOGLE_BOOKS,DIGI-SCAN,353,Mieke,Bal,Narratology,1985,Digitized
What Stories Are: Narrative Theory and Interpretation,Google Books,GOOGLE_BOOKS,DIGI-SCAN,355,Thomas,Leitch,Narratology,1986,Digitized
Fictional Worlds,Print,LIBRARY_SCAN,FALSE,356,Thomas,Pavel,Narratology,1986,Digitized
From Text to Action,Google Books,GOOGLE_BOOKS,DIGI-SCAN,357,Paul,Ricoeur,Narratology,1986,Digitized
A Dictionary of Narratology,Ebook,EBOOK_PURCHASED,FALSE,358,Gerald,Prince,Narratology,1987,Born Digital
Before Reading: Narrative Conventions and the Politics of Interpretation,Google Books,GOOGLE_BOOKS,DIGI-SCAN,359,Peter,Rabinowitz,Narratology,1987,Digitized
"Reading People, Reading Plots: Character, Progression, and the Interpretation of Narrative",Print,LIBRARY_SCAN,FALSE,360,James,Phelan,Narratology,1989,Digitized
The Nature of Fiction,Ebook,EBOOK_PURCHASED,FALSE,361,Gregory,Currie,Narratology,1990,Born Digital
Fictional Truth,Print,LIBRARY_SCAN,FALSE,362,Michael,Riffaterre,Narratology,1990,Digitized
Mimesis as Make-Believe: On the Foundations of the Representational Arts,Print,LIBRARY_SCAN,FALSE,363,Kendall,Walton,Narratology,1990,Digitized
On Story-telling: Essays in Narratology,Print,LIBRARY_SCAN,FALSE,364,Mieke,Bal,Narratology,1991,Digitized
"Possible Worlds, Artificial Intelligence and Narrative Theory",Print,LIBRARY_SCAN,FALSE,365,Marie-Laure,Ryan,Narratology,1991,Digitized
Narrativity: Theory and Practice,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,366,Philip,Sturgess,Narratology,1992,Born Digital
Understanding Narrative,Print,LIBRARY_SCAN,FALSE,367,James,Phelan,Narratology,1995,Digitized
Narrative and Freedom: The Shadows of Time,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,368,Gary Saul,Morson,Narratology,1996,Born Digital
Frameworks: Narrative Levels and Embedded Narrative,Print,LIBRARY_SCAN,FALSE,369,William,Nelles,Narratology,1997,Digitized
Heterocosmica: Fiction and Possible Worlds,Print,LIBRARY_SCAN,FALSE,370,Lubomír,Doležel,Narratology,1998,Digitized
Unlikely Stories: Causality and the Nature of Modern Narrative,Print,LIBRARY_SCAN,FALSE,371,Brian,Richardson,Narratology,1998,Digitized
The Distinction of Fiction,Print,LIBRARY_SCAN,FALSE,372,Dorrit,Cohn,Narratology,1999,Digitized
Rhetorical Narratology,Print,LIBRARY_SCAN,FALSE,373,Michael,Kearns,Narratology,1999,Digitized
Narrative as Virtual Reality,Google Books,GOOGLE_BOOKS,DIGI-SCAN,374,Marie-Laure,Ryan,Narratology,2001,Digitized
Psychonarratology,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,375,Marisa,Bortolussi,Narratology,2002,Born Digital
"The Pursuit of Signs: Semiotics, Literature, Deconstruction",Google Books,GOOGLE_BOOKS,DIGI-SCAN,376,Jonathan,Culler,Narratology,2002,Digitized
Towards a 'Natural' Narratology,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,377,Monika,Fludernik,Narratology,2002,Born Digital
Story Logic: Problems and Possibilities of Narrative,Print,LIBRARY_SCAN,FALSE,378,David,Herman,Narratology,2002,Digitized
Narrative Form,Ebook,EBOOK_PURCHASED,FALSE,379,Suzanne,Keen,Narratology,2003,Born Digital
Fictional Minds,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,380,Alan,Palmer,Narratology,2004,Born Digital
Affective Narratology: The Emotional Structure of Stories,Ebook,EBOOK_PURCHASED,FALSE,381,Patrick Colm,Hogan,Narratology,2005,Born Digital
Narrative Causalities,Ebook,OPEN_ACCESS,FALSE,382,Emma,Kafalenos,Narratology,2006,Born Digital
Why We Read Fiction: Theory of Mind and the Novel,Ebook,OPEN_ACCESS,FALSE,383,Lisa,Zunshine,Narratology,2006,Born Digital
Empathy and the Novel,Ebook,OPEN_ACCESS,FALSE,384,Suzanne,Keen,Narratology,2007,Born Digital
"Experiencing Fiction: Judgments, Progressions, and the Rhetorical Theory of Narrative",Ebook,OPEN_ACCESS,FALSE,385,James,Phelan,Narratology,2007,Born Digital
The Rhetoric of Fictionality,Ebook,OPEN_ACCESS,FALSE,386,Richard,Walsh,Narratology,2007,Born Digital
"The Fiction of Narrative: Essays on History, Literature, and Theory, 1957-2007.",Print,LIBRARY_SCAN,FALSE,387,Hayden,White,Narratology,2007,Digitized
Basic Elements of Narrative,Ebook,INDIVIDUAL_EBOOK_PURCHASE,FALSE,388,David,Herman,Narratology,2009,Born Digital
The Mind and its Stories: Narrative Universals and Human Emotion,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,389,Patrick Colm,Hogan,Narratology,2009,Born Digital
Narratives and Narrators: A Philosophy of Stories,Ebook,OPEN_ACCESS,FALSE,390,Gregory,Currie,Narratology,2010,Born Digital
Narratology. An Introduction,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,391,Wolf,Schmid,Narratology,2010,Born Digital
The Experientiality of Narrative: An Enactivist Approach,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,392,Marco,Caracciolo,Narratology,2014,Born Digital
"Unnatural Narrative: Theory, History, and Practice",Ebook,OPEN_ACCESS,FALSE,393,Brian,Richardson,Narratology,2015,Born Digital
Narratology beyond the Human: Storytelling and Animal Life,Ebook,OPEN_ACCESS,FALSE,394,David,Herman,Narratology,2018,Born Digital
Narratology in Practice,Ebook,PREVIOUSLY_OWNED_EBOOK,FALSE,395,Mieke,Bal,Narratology,2021,Born Digital
Seduced by Story: The Use and Abuse of Narrative,Ebook,LIBRARY_OWNED_DRM_EBOOK,FALSE,396,Peter,Brooks,Narratology,2022,Born Digital
Art as Technique,Ebook,PUBLIC_DOMAIN,FALSE,397,Viktor,Shklovsky,Russian Formalism,1917,Born Digital
"""On Realism in Art,"" in Language in Literature",Article,ARTICLE,FALSE,398,Roman,Jakobson,Russian Formalism,1921,Born Digital
"""How Gogol's Overcoat Is Made,"" in Gogol from the twentieth century",Ebook,PURCHASED_EBOOK,FALSE,399,Boris,Eichenbaum,Russian Formalism,1921,Born Digital
The Young Tolstoi,Google Books,GOOGLE_BOOKS,DIGI-SCAN,400,Boris,Eichenbaum,Russian Formalism,1922,Digitized
Knight's Move,Print,LIBRARY_SCAN,FALSE,401,Viktor,Shklovsky,Russian Formalism,1923,Digitized
The Problem of Verse Language,Print,LIBRARY_SCAN,FALSE,402,Yuri,Tynyanov,Russian Formalism,1924,Digitized
Thematics,Ebook,PUBLIC_DOMAIN,FALSE,403,Boris,Tomashevsky,Russian Formalism,1925,Born Digital
A Theory of Literature,Print,LIBRARY_SCAN,FALSE,404,Boris,Tomashevsky,Russian Formalism,1925,Digitized
Theory of Prose,Print,LIBRARY_SCAN,FALSE,405,Viktor,Shklovsky,Russian Formalism,1925,Digitized
The Theory of the 'Formal Method',Ebook,PUBLIC_DOMAIN,FALSE,406,Boris,Eichenbaum,Russian Formalism,1926,Born Digital
"""On Literary Evolution,"" in Permanent Evolution",Article,ARTICLE,FALSE,407,Yuri,Tynyanov,Russian Formalism,1927,Born Digital
Morphology of the Folktale,Google Books,GOOGLE_BOOKS,DIGI-SCAN,408,Vladimir,Propp,Russian Formalism,1928,Digitized
Permanent Evolution (1919-1930),Ebook,EBOOK_PURCHASED,FALSE,409,Yuri,Tynyanov,Russian Formalism,1930,Born Digital
"""Two Aspects of Language and Two Types of Aphasic Disturbances"" in Language in Literature",Article,ARTICLE,FALSE,410,Roman,Jakobson,Russian Formalism,1956,Born Digital
Fundamentals of Language,Ebook,EBOOK_PURCHASED,FALSE,411,Roman,Jakobson,Russian Formalism,1956,Born Digital
"""Linguistics and Poetics,"" in Language in Literature",Article,ARTICLE,FALSE,412,Roman,Jakobson,Russian Formalism,1960,Born Digital
Quest for the Essence of Language,Article,ARTICLE,FALSE,413,Roman,Jakobson,Russian Formalism,1965,Born Digital
A Poetics of Composition. The Structure of the Artistic and Typology of A Compositional Form,Print,LIBRARY_SCAN,FALSE,414,Boris,Uspensky,Russian Formalism,1970,Digitized
The Structure of the Artistic Text,Print,LIBRARY_SCAN,FALSE,415,Yuri,Lotman,Russian Formalism,1971,Digitized
Analysis of the Poetic Text,Print,LIBRARY_SCAN,FALSE,416,Yuri,Lotman,Russian Formalism,1972,Digitized
The Semiotics of Russian Culture,Google Books,GOOGLE_BOOKS,DIGI-SCAN,417,Yuri,Lotman,Russian Formalism,1984,Digitized
Universe of the Mind: A Semiotic Theory of Culture,Print,LIBRARY_SCAN,FALSE,418,Yuri,Lotman,Russian Formalism,1990,Digitized
Introduction to Metrics: The Theory of Verse,Ebook,EBOOK_PURCHASED,FALSE,419,Viktor,Zhirmunsky,Russian Formalism,,Born Digital
Deconstruction and Criticism,Google Books,GOOGLE_BOOKS,DIGI-SCAN,420,"Harold Bloom, Paul de Man, Jacque Derrida, Geoggrey Hartman, J Hillis Miller",,Poststructuralism,1979,Digitized
Tropics of Discourse: Essays in Cultural Criticism,Print,LIBRARY_SCAN,FALSE,421,Hayden,White,Poststructuralism,1978,Digitized
"Imperialism, the Highest Stage of Capitalism",Print,DESTRUCTIVE_SCAN,FALSE,422,vladimir,lenin,Marxism,1917,Digitized
On Rhythmic Prose,Article,ARTICLE,FALSE,423,Viktor,Zhirmunsky,Russian Formalism,,Born Digital
Marxist literary theory : a reader,Print,LIBRARY_SCAN,,424,,Eagleton,Marxism,1996,Digitized
